# Voodoo Trace - Frame 49
# Format: <CMD> <timestamp> <addr> [register_name] <data> [(float_value)] [xN]
# Fixed-point formats: S12.4 (vertices), S18.14 (RGBA), S20.12 (Z), S14.18 (S/T), S2.30 (W)
#
RREG_L               54 0x000000 status           0x1f89b3bf
WREG_L              201 0x200088 fvertexAx        0x49401b34 (786867.250000)
WREG_L              201 0x20008c fvertexAy        0x4940112e (786706.875000)
WREG_L              201 0x200090 fvertexBx        0x494018b6 (786827.375000)
WREG_L              201 0x200094 fvertexBy        0x4940123e (786723.875000)
WREG_L              201 0x200098 fvertexCx        0x49401d4e (786900.875000)
WREG_L              201 0x20009c fvertexCy        0x4940133a (786739.625000)
WREG_L              295 0x2000a0 fstartR          0x4348ac0d (200.672073)
WREG_L              317 0x2000a4 fdRdX            0xb956b510 (-0.000205)
WREG_L              317 0x2000a8 fdRdY            0xbc7b47df (-0.015337)
WREG_L              342 0x2000ac fstartG          0x4348ac0d (200.672073)
WREG_L              364 0x2000b0 fdGdX            0xb956b510 (-0.000205)
WREG_L              364 0x2000b4 fdGdY            0xbc7b47df (-0.015337)
WREG_L              389 0x2000b8 fstartB          0x4348ac0d (200.672073)
WREG_L              411 0x2000bc fdBdX            0xb956b510 (-0.000205)
WREG_L              411 0x2000c0 fdBdY            0xbc7b47df (-0.015337)
WREG_L              436 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L              479 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L              479 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L              504 0x2000f4 fstartW          0x3a4726af (0.000760)
WREG_L              547 0x2000f8 fdWdX            0x00000000 (0.000000)
WREG_L              547 0x2000fc fdWdY            0x80000000 (-0.000000)
WTEX_L              575 0xe20000 0x00000000
WREG_L              613 0x200100 ftriangleCMD     0xc4eab100
WREG_L              669-         711 0x000110 fbzMode          0x000b4379 x2
WREG_L             1140 0x00010c alphaMode        0x00045110
WREG_L             1260 0x200088 fvertexAx        0x49400a99 (786601.562500)
WREG_L             1335 0x20008c fvertexAy        0x494009d1 (786589.062500)
WREG_L             1335 0x200090 fvertexBx        0x49400cdc (786637.750000)
WREG_L             1335 0x200094 fvertexBy        0x49400b72 (786615.125000)
WREG_L             1335 0x200098 fvertexCx        0x49400b82 (786616.125000)
WREG_L             1335 0x20009c fvertexCy        0x49400c96 (786633.375000)
WREG_L             1392 0x2000a0 fstartR          0x4349c636 (201.774261)
WREG_L             1414 0x2000a4 fdRdX            0x3be8072c (0.007081)
WREG_L             1414 0x2000a8 fdRdY            0xbbc59550 (-0.006030)
WREG_L             1439 0x2000ac fstartG          0x4349c636 (201.774261)
WREG_L             1461 0x2000b0 fdGdX            0x3be8072c (0.007081)
WREG_L             1461 0x2000b4 fdGdY            0xbbc59550 (-0.006030)
WREG_L             1486 0x2000b8 fstartB          0x4349c636 (201.774261)
WREG_L             1508 0x2000bc fdBdX            0x3be8072c (0.007081)
WREG_L             1508 0x2000c0 fdBdY            0xbbc59550 (-0.006030)
WREG_L             1533 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L             1576 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L             1576 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L             1601 0x2000f4 fstartW          0x3a4726af (0.000760)
WREG_L             1644 0x2000f8 fdWdX            0x00000000 (0.000000)
WREG_L             1644 0x2000fc fdWdY            0x80000000 (-0.000000)
WTEX_L             1672 0xe20000 0x00000000
WREG_L             1710 0x200100 ftriangleCMD     0x449900c0
WREG_L             1757-        1799 0x000110 fbzMode          0x000b4379 x2
WREG_L             2156 0x00010c alphaMode        0x00045110
WREG_L             2275 0x200088 fvertexAx        0x49401bbc (786875.750000)
WREG_L             2350 0x20008c fvertexAy        0x49400d5f (786645.937500)
WREG_L             2350 0x200090 fvertexBx        0x49401e7f (786919.937500)
WREG_L             2350 0x200094 fvertexBy        0x49400dc0 (786652.000000)
WREG_L             2350 0x200098 fvertexCx        0x49401c45 (786884.312500)
WREG_L             2350 0x20009c fvertexCy        0x49400f48 (786676.500000)
WREG_L             2407 0x2000a0 fstartR          0x43494aee (201.292694)
WREG_L             2429 0x2000a4 fdRdX            0xbcc9f612 (-0.024653)
WREG_L             2429 0x2000a8 fdRdY            0xba71f372 (-0.000923)
WREG_L             2454 0x2000ac fstartG          0x43494aee (201.292694)
WREG_L             2476 0x2000b0 fdGdX            0xbcc9f612 (-0.024653)
WREG_L             2476 0x2000b4 fdGdY            0xba71f372 (-0.000923)
WREG_L             2501 0x2000b8 fstartB          0x43494aee (201.292694)
WREG_L             2523 0x2000bc fdBdX            0xbcc9f612 (-0.024653)
WREG_L             2523 0x2000c0 fdBdY            0xba71f372 (-0.000923)
WREG_L             2548 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L             2591 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L             2591 0x2000d8 fdAdY            0x80000000 (-0.000000)
